Locality,Strike/trend,Dip/plunge,GPS shorthand,,Inverted?,X GPS,Y GPS,Full GPS,Rock type/contact,Notes
ra,283,60,35,96,,284348,4752957,284348 4752957,San Pedro bedding,
rb,288,54,62,89,,284620,4752893,284620 4752893,San Pedro bedding,likely very near contact
rc,286,56,68,92,,284682,4752923,284682 4752923,Formigoso bedding,
rc,288,48,68,92,,284682,4752923,284682 4752923,Formigoso bedding,
rd,270,48,93,97,,284927,4752965,284927 4752965,Barrios bedding,
re,275,52,1,85,,285006,4752846,285006 4752846,Formigoso bedding,
,273,42,99,84,,284991,4752835,284991 4752835,Formigoso bedding,
rf,278,62,24,93,,285239,4752932,285239 4752932,Barrios bedding,
rg,254,66,38,83,,285380,4752829,285380 4752829,Formigoso bedding,
rh,275,60,40,76,,285403,4752756,285403 4752756,San Pedro bedding,
ri,262,62,41,81,,285414,4752808,285414 4752808,Formigoso bedding,
rj,275,72,44,92,,285438,4752917,285438 4752917,Barrios bedding,
rk,270,52,38,68,,285384,4752678,285384 4752678,San Pedro bedding,
rl,,,38,66,,285380,4752655,285380 4752655,La Vid bedding,
sa,293,64,63,47,,285630,4752468,285630 4752468,La Vid bedding,
sb,305,78,71,67,,285706,4752673,285706 4752673,San Pedro bedding,
sc,301,75,83,75,,285828,4752754,285828 4752754,San Pedro bedding,
,302,44,95,82,,285949,4752821,285949 4752821,Formigoso bedding,
,280,60,57,58,,285569,4752578,285569 4752578,La Vid bedding,
sd,280,46,49,58,,285487,4752575,285487 4752575,La Vid bedding,
ta,339,78,63,90,,285631,4753895,285631 4753895,Oville bedding,
tc,298,82,53,3,,285530,4754027,285530 4754027,Oville bedding,
,,,45,4,,285447,4754042,285447 4754042,Barrios bedding ~30m away on strike of 225,
te,308,58,98,45,,284975,4754449,284975 4754449,Barrios bedding,likely near Barrios / Oville contact
tf,318,80,12,57,,285115,4754565,285115 4754565,Oville bedding,
tg,300,80,43,27,,284433,4755270,284433 4755270,Oville bedding,
tg,302,68,3,53,,284029,4755534,284029 4755534,Oville bedding,
ua,287,88,54,53,,285535,4756532,285535 4756532,Lancara bedding,
va,290,68,56,79,,284556,4756787,284556 4756787,Lancara bedding,
vb,287,77,47,67,,288465,2 475674,2884652 4756743,Lancara bedding,
,313,78,86,68,,284858,4756679,284858 4756679,Lancara bedding,
wa,297,73,97,88,,285969,4752882,285969 4752882,Barrios bedding,Barrios/Formigoso contact
,284,64,4,6,,286040,4753060,286040 4753060,Barrios bedding,
wb,284,60,94,13,,285937,4753129,285937 4753129,Oville bedding,
wc,260,54,78,13,,285780,4753129,285780 4753129,Oville bedding,
,254,56,71,38,,285706,4753382,285706 4753382,Oville bedding,
,270,74,63,43,,283627,4753428,283627 4753428,Oville bedding,
we,329,79,73,47,,285733,4753470,285733 4753470,Oville bedding,
xa,65,30,36,79,,285360,4754787,285360 4754787,Barrios bedding,
,339,44,0,0,,,,,San Pedro bedding,may have slumped
xf,315,58,11,77,,286105,4754774,286105 4754774,San Pedro bedding,
,304,45,38,16,,286376,4755163,286376 4755163,La Vid bedding,
,308,54,9,38,,286090,4755381,286090 4755381,La Vid bedding,
,255,55,17,48,,286166,4755482,286166 4755482,Formigoso bedding,
ya,287,90,33,3,,283328,4757028,283328 4757028,Lancara bedding,
yb,291,62,43,21,,283431,4756205,283431 4756205,Barrios bedding,
yc,282,61,40,90,,283402,4756895,283402 4756895,Oville bedding,
,282,56,42,41,,283422,4756406,283422 4756406,San Pedro bedding,
,278,50,70,16,,283703,4756163,283703 4756163,San Pedro bedding,may be slumped
ye,303,56,58,22,,283583,4756219,283583 4756219,San Pedro bedding,
,282,78,50,28,,283497,4756277,283497 4756277,La Vid bedding,
,293,55,46,31,,283464,4756311,283464 4756311,San Pedro bedding,
,279,53,76,16,,283763,4756156,283763 4756156,San Pedro bedding,
,236,52,89,14,,283889,4756136,283889 4756136,La Vid bedding,
,280,70,88,8,,283876,4756082,283876 4756082,La Vid bedding,
yf,281,80,91,11,,283914,4756109,283914 4756109,La Vid bedding,
,285,70,82,13,,283816,4756126,283816 4756126,La Vid bedding,
,270,72,81,14,,283812,4756137,283812 4756137,San Pedro bedding,
,293,82,43,31,,283425,4756310,283425 4756310,San Pedro bedding,
,299,74,43,33,,283425,4756327,283425 4756327,La Vid bedding,
,301,45,41,35,,283413,4756348,283413 4756348,San Pedro bedding,
za,262,75,65,8,,285647,4754081,285647 4754081,San Pedro bedding,
zb,275,62,67,11,,285665,4754108,285665 4754108,Formigoso bedding,
ze,90,68,85,34,,285854,4754337,285854 4754337,Barrios bedding,
,101,81,94,33,,285941,4754325,285941 4754325,Barrios bedding,
,118,80,100,31,,285997,4754306,285997 4754306,Barrios bedding,
,90,73,5,30,,286051,4754303,286051 4754303,Barrios bedding,
,65,51,9,32,,286092,4754319,286092 4754319,Barrios bedding,
,26,35,13,40,,286129,4754401,286129 4754401,Barrios bedding,(average of two at this GPS)
zf,350,28,24,46,,286237,4754458,286237 4754458,San Pedro bedding,
,313,28,23,32,,286232,4754317,286232 4754317,Formigoso bedding,
,322,35,22,30,,286216,4754299,286216 4754299,Formigoso bedding,
,309,45,17,24,,286170,4754237,286170 4754237,Formigoso bedding,
,301,79,15,21,,286154,4754209,286154 4754209,Formigoso bedding,
,302,68,12,14,,286122,4754138,286122 4754138,Formigoso bedding,
,280,72,4,17,,286036,4754172,286036 4754172,Formigoso bedding,
zh,284,76,12,9,,286121,4754089,286121 4754089,San Pedro bedding,
,331,42,29,37,,286294,4754365,286294 4754365,San Pedro bedding,
,300,84,5,13,,286045,4754127,286045 4754127,San Pedro bedding,
,292,79,5,16,,286050,4754162,286050 4754162,Formigoso bedding,
,285,65,75,6,,285749,4754056,285749 4754056,San Pedro bedding,
,316,60,83,4,,285831,4754043,285831 4754043,Formigoso bedding,
